state,name,candidate,party,total
Telangana,Adilabad ,GODAM NAGESH,TRS,430847
Telangana,Adilabad ,NARESH,INC,259557
Telangana,Adilabad ,RAMESH RATHOD,TDP,184198
Telangana,Adilabad ,RATHOD SADASHIV,BSP,94420
Telangana,Adilabad ,NETHAWATH RAMDAS,IND,41032
Telangana,Adilabad ,PAWAR KRISHNA,IND,5055
Telangana,Adilabad ,BANKA SAHADEV,IND,4787
Telangana,Adilabad ,MOSALI CHINNAIAH,IND,8859
Telangana,Adilabad ,None of the Above,NOTA,17084
Telangana,Peddapalle ,DR.JANAPATI SARAT BABU,TDP,63334
Telangana,Peddapalle ,TAGARAM SHANKAR LAL,BSP,9449
Telangana,Peddapalle ,BALKA SUMAN,TRS,565496
Telangana,Peddapalle ,G. VIVEKANAND,INC,274338
Telangana,Peddapalle ,KALVALA SHANKAR,PPOI,9290
Telangana,Peddapalle ,KALVALA SANJEEV,RPI,8609
Telangana,Peddapalle ,BOTHA VENKATA MALLAIAH,BCUF,2245
Telangana,Peddapalle ,J.V. RAJU,NIP,3020
Telangana,Peddapalle ,VENKATA SWAMY INJAM,MaSP,3866
Telangana,Peddapalle ,VELTHURU MALLAIAH,RP(K),45977
Telangana,Peddapalle ,KAMILLA JAYA RAO,IND,2742
Telangana,Peddapalle ,GADDALA VINAY KUMAR,IND,3266
Telangana,Peddapalle ,GORRE RAMESH,IND,2361
Telangana,Peddapalle ,JINNA RAMADEVI,IND,9199
Telangana,Peddapalle ,THALLAPALLI SRINIVAS,IND,3699
Telangana,Peddapalle ,BUPELLI NARAYANA,IND,7258
Telangana,Peddapalle ,MOUTAM RAVINDER,IND,2674
Telangana,Peddapalle ,None of the Above,NOTA,5361
Telangana,Karimnagar ,CHENNAMANENI VIDYA SAGAR RAO,BJP,214828
Telangana,Karimnagar ,PONNAM PRABHAKAR,INC,300706
Telangana,Karimnagar ,BURLA. RAVI,NCP,4769
Telangana,Karimnagar ,B. LAXMAN,BSP,11328
Telangana,Karimnagar ,VINOD KUMAR BOINAPALLY,TRS,505358
Telangana,Karimnagar ,DR.DHARMAIAH VENDAVETLA,BMUP,3772
Telangana,Karimnagar ,L. PRABHAKAR REDDY,PPOI,3943
Telangana,Karimnagar ,MEESALA RAJI REDDY,YSRCP,3075
Telangana,Karimnagar ,RANAVENI LAKSHMAN,NIP,2062
Telangana,Karimnagar ,REDDI MALLA SRINIVAS,RPI(A),8034
Telangana,Karimnagar ,SHAIK MAHMOOD,WPOI,39308
Telangana,Karimnagar ,UPPULETI.LAXMAN,IND,2445
Telangana,Karimnagar ,KANDEM PRABHAKAR,IND,4728
Telangana,Karimnagar ,PULIKOTA RAMESH,IND,1773
Telangana,Karimnagar ,MALLESH YADAV BARLA,IND,2757
Telangana,Karimnagar ,MOHAMMED AMJAD MOHIUDDIN,IND,6713
Telangana,Karimnagar ,SRINIVAS REDDY LINGAMPALLY,IND,3851
Telangana,Karimnagar ,None of the Above,NOTA,5734
Telangana,Nizamabad,ENDALA LAKSHMINARAYANA,BJP,225333
Telangana,Nizamabad,KALVAKUNTLA KAVITHA,TRS,439307
Telangana,Nizamabad,TALARI RAMULU,BSP,7421
Telangana,Nizamabad,MADHU YASKHI GOUD,INC,272123
Telangana,Nizamabad,ABDUL GANI,BCUF,4791
Telangana,Nizamabad,BANJA VEERAPPA,PPOI,3651
Telangana,Nizamabad,MALIK MOHTASIM KHAN,WPOI,43814
Telangana,Nizamabad,RAPELLY SRINIVAS,AAAP,2621
Telangana,Nizamabad,SAGAR SUDDALA,BMUP,1978
Telangana,Nizamabad,SINGAREDDY RAVINDRA REDDY,YSRCP,3529
Telangana,Nizamabad,ABDUL KAREEM KHAN (BABU),IND,1601
Telangana,Nizamabad,KANDEM PRABHAKAR,IND,3990
Telangana,Nizamabad,KOTAPATI NARSIMHAM NAIDU,IND,2462
Telangana,Nizamabad,S. CHANDRAIAH,IND,2817
Telangana,Nizamabad,CHIRULINGADRULA VENKATESHAM,IND,3091
Telangana,Nizamabad,BAGWAN B,IND,8129
Telangana,Nizamabad,None of the Above,NOTA,7266
Telangana,Zahirabad,B.B. PATIL,TRS,508661
Telangana,Zahirabad,K.MADAN MOHAN RAO,TDP,157497
Telangana,Zahirabad,SYED FEROZUDDIN,BSP,8180
Telangana,Zahirabad,SURESH KUMAR SHETKAR,INC,364030
Telangana,Zahirabad,MARRI DURGESH,RPI(A),18027
Telangana,Zahirabad,MAHMOOD MOHIUDDIN,YSRCP,12383
Telangana,Zahirabad,DR. SUNEEL KUMAR CHOWDHARY,AAAP,3285
Telangana,Zahirabad,TANDALE AMBAJI RAO,IND,2323
Telangana,Zahirabad,BENJAMIN RAJU,IND,4804
Telangana,Zahirabad,RAMA RAO,IND,4426
Telangana,Zahirabad,None of the Above,NOTA,11190
Telangana,Medak,KALVAKUNTLA CHANDRASEKHAR RAO,TRS,657492
Telangana,Medak,CHAGANLA NARENDRA NATH,BJP,181804
Telangana,Medak,Y. SHANKAR GOUD,BSP,6643
Telangana,Medak,DR.P. SHRAVAN KUMAR REDDY,INC,260463
Telangana,Medak,IQBAL ALI ZAFAR,MBT,5010
Telangana,Medak,KOMPELLI PRABHUDAS,RPI(A),7599
Telangana,Medak,"PRABHUGOUD, PULLAIAHGARI",YSRCP,11752
Telangana,Medak,BOMMA BALESHAM,PPOI,3297
Telangana,Medak,KUNDETI. RAVI.,IND,33507
Telangana,Medak,GAJABINKAR BANSILAL,IND,3281
Telangana,Medak,GURJADA BHEERAIAH YADAV,IND,2053
Telangana,Medak,BALARAJU MITTAPALLY,IND,2973
Telangana,Medak,MEKA. SUBBA RAO,IND,4441
Telangana,Medak,None of the Above,NOTA,10696
Telangana,Malkajgiri,KARUNAKAR.R,BSP,6133
Telangana,Malkajgiri,CH.MALLA REDDY,TDP,523356
Telangana,Malkajgiri,SARVEY SATHYANARAYANA,INC,233530
Telangana,Malkajgiri,HANUMANTH RAO MYNAMPALLY,TRS,495190
Telangana,Malkajgiri,DR.JAYAPRAKASH  NARAYAN .N,LSP,158248
Telangana,Malkajgiri,JAJULA BHASKAR,SHP,7953
Telangana,Malkajgiri,V.DINESH REDDY,YSRCP,115221
Telangana,Malkajgiri,DIVAKAR DHARANIKOTA SUDHAKAR,AIMIM,18544
Telangana,Malkajgiri,PADURI SRINIVAS REDDY,TLP,802
Telangana,Malkajgiri,BANDI SUDHAKAR,JaSPa,4095
Telangana,Malkajgiri,MURARI.T.N,SHS,1390
Telangana,Malkajgiri,SATHYANARAYANA YAADAV PEDDIBOYINA,BCBDP,596
Telangana,Malkajgiri,SUTHARAPU PADMAIAH,APRSSP,529
Telangana,Malkajgiri,DR.N.V.SUDHA KIRAN,AAAP,8301
Telangana,Malkajgiri,SURAKANTI VENKAT REDDY,PPOI,2049
Telangana,Malkajgiri,ANJANEYULU.E,IND,2677
Telangana,Malkajgiri,KANTE SAYANNA,IND,2261
Telangana,Malkajgiri,KOYALKAR BHOJ RAJ,IND,1547
Telangana,Malkajgiri,GAJABINKAR BANSILAL,IND,1416
Telangana,Malkajgiri,DASARI BHARATH REDDY,IND,1693
Telangana,Malkajgiri,PROF. K.NAGESHWAR,IND,13239
Telangana,Malkajgiri,M.NAGESWARA RAO,IND,1301
Telangana,Malkajgiri,PEESARI SATISH REDDY,IND,1325
Telangana,Malkajgiri,POTTURI TULASI DAS,IND,411
Telangana,Malkajgiri,POLISETTY KRISHNA RAO,IND,496
Telangana,Malkajgiri,D.BIKSHAPATHI,IND,5717
Telangana,Malkajgiri,RAHUL PANDIT,IND,899
Telangana,Malkajgiri,VATTIKUTI RAMARAO GOUD,IND,1032
Telangana,Malkajgiri,M.T.VARUGHESE,IND,1026
Telangana,Malkajgiri,B.VEERA HANUMANTHA REDDY,IND,775
Telangana,Malkajgiri,None of the Above,NOTA,8692
Telangana,Secunderabad,M.ANJAN KUMAR YADAV,INC,183536
Telangana,Secunderabad,KHAJA KHALID ANWAR,BSP,2863
Telangana,Secunderabad,BANDARU DATTATREYA,BJP,438271
Telangana,Secunderabad,T.BHEEMSEN,TRS,143847
Telangana,Secunderabad,ABDUS SATTAR MUJAHED,ABML(S),809
Telangana,Secunderabad,DR.N.S.UDAY KUMAR,pjdl,928
Telangana,Secunderabad,KARANKOTE NARENDER,AIFB,474
Telangana,Secunderabad,KUMAR CHOWDARY YADAV.G,sps,547
Telangana,Secunderabad,KHAJA SIRAJUDDIN AZAZ,mmsp,959
Telangana,Secunderabad,CHAYA RATAN MUSINIPALLY,AAAP,11184
Telangana,Secunderabad,B.DEEPAK KUMAR,RPI(KH),1813
Telangana,Secunderabad,NARLA MOHAN RAO,AIMIM,145120
Telangana,Secunderabad,DR.MALATHI LATHA EPPA,JAP,873
Telangana,Secunderabad,CH. MURAHARI,SUCI,554
Telangana,Secunderabad,MOHD IMTIAZ HUSSAIN,IUML,786
Telangana,Secunderabad,RAGHU DESHABOINA,BMUP,1496
Telangana,Secunderabad,J.RAMULU,RSP,2058
Telangana,Secunderabad,SHAKTHI SATYAVATHI,PPOI,638
Telangana,Secunderabad,K. SRINIVASULU,JaSPa,3691
Telangana,Secunderabad,SYED SAJID ALI,YSRCP,45187
Telangana,Secunderabad,K.SAI KRISHNA MOHAN RAO,ICSP,2603
Telangana,Secunderabad,SONU SARSAL VALMIKI,TECPI,2311
Telangana,Secunderabad,ANANTH RAO GUNDEPALLY,IND,779
Telangana,Secunderabad,AVULA RANGANAYAKULU,IND,1144
Telangana,Secunderabad,MICHAEL DANIEL OVELZ,IND,291
Telangana,Secunderabad,MOHD ABUBAKAR PARWAIZ SIDDIQUI,IND,322
Telangana,Secunderabad,MOHAMMED RIZWAN HUSSAIN,IND,370
Telangana,Secunderabad,S. LAKSHMAN RAO,IND,886
Telangana,Secunderabad,SYED MADANI QUADRI,IND,376
Telangana,Secunderabad,B.SUBRAMANYAM,IND,2481
Telangana,Secunderabad,None of the Above,NOTA,6572
Telangana,Hyderabad,S KRISHNA REDDY,INC,49310
Telangana,Hyderabad,DR.BHAGAVANTH RAO,BJP,311414
Telangana,Hyderabad,RASHID SHAREEF,TRS,37195
Telangana,Hyderabad,VENU GOPAL.P,BSP,3100
Telangana,Hyderabad,ASADUDDIN OWAISI,AIMIM,513868
Telangana,Hyderabad,S.KHAJA MOINUDDIN,AIACP,1593
Telangana,Hyderabad,JAYA VINDHYALA,SP(I),598
Telangana,Hyderabad,BINGHI RAJASHEKAR,PPOI,21796
Telangana,Hyderabad,BODDU SAINATH REDDY,YSRCP,10743
Telangana,Hyderabad,N.MAHENDER SINGH,NBNP,485
Telangana,Hyderabad,LUBNA SARWATH,AAAP,6118
Telangana,Hyderabad,SYED MUSTAFA MAHMOOD,MBT,2102
Telangana,Hyderabad,MD OSMAN,IND,728
Telangana,Hyderabad,SHAIK MOIN,IND,626
Telangana,Hyderabad,SYED ABDUL GAFFER,IND,740
Telangana,Hyderabad,M A HABEEB,IND,5992
Telangana,Hyderabad,None of the Above,NOTA,5013
Telangana,Chevella,KONDA VISHWESHWAR REDDY,TRS,435077
Telangana,Chevella,TULLA VEERENDER,TDP,353203
Telangana,Chevella,PATLOLLA KARTIK REDDY,INC,362054
Telangana,Chevella,SAMALA RAVINDAR,BSP,7732
Telangana,Chevella,KUMMARI GIRI,PPOI,5789
Telangana,Chevella,KONDA RAGHAVA REDDY,YSRCP,40135
Telangana,Chevella,DR.GOLLA RAMAIAH,TLP,1765
Telangana,Chevella,CHAN PASHA,ABML(S),56835
Telangana,Chevella,MD YUNUS MIYA,MCPI,2904
Telangana,Chevella,REGATTE VENKAT REDDY,AAAP,7462
Telangana,Chevella,SYED HASHMATHULLAH QUADRI,IUML,1411
Telangana,Chevella,DR. P. SADHU SATYANADHAN,ICSP,2545
Telangana,Chevella,SUTHARAPU PADMAIAH,APRSSP,2214
Telangana,Chevella,G.MALLESHAM GOUD,IND,24660
Telangana,Chevella,SANIKE RAM GOPAL YADAV,IND,2058
Telangana,Chevella,None of the Above,NOTA,10018
Telangana,Mahbubnagar,KADIRE KRISHNA,BSP,15779
Telangana,Mahbubnagar,DR. JANARDHAN REDDY NAGAM,BJP,272791
Telangana,Mahbubnagar,JAIPAL REDDY SUDINI,INC,331638
Telangana,Mahbubnagar,AP JITHENDER REDDY,TRS,334228
Telangana,Mahbubnagar,S.R.PREMAIAH,PPOI,30388
Telangana,Mahbubnagar,H.A. RAHMAN,YSRCP,9105
Telangana,Mahbubnagar,IBRAHIM SYED,IND,4549
Telangana,Mahbubnagar,DR. CHANDRA SEKHAR. A,IND,4033
Telangana,Mahbubnagar,S. SHIVA SHANKAR,IND,3252
Telangana,Mahbubnagar,None of the Above,NOTA,9037
Telangana,Nagarkurnool,YELLAIAH NANDI,INC,420075
Telangana,Nagarkurnool,BAKKANI NARSIMLU,TDP,183352
Telangana,Nagarkurnool,BAHADHUR SRINIVAS,BSP,12089
Telangana,Nagarkurnool,DR. MANDA JAGANNATH,TRS,403399
Telangana,Nagarkurnool,MAREDU GOPAL,YSRCP,22985
Telangana,Nagarkurnool,BUDDULA SRINIVAS,IND,54680
Telangana,Nagarkurnool,None of the Above,NOTA,12388
Telangana,Nalgonda,KUNDARAPU RAMESH,BSP,11517
Telangana,Nalgonda,GUTHA SUKHENDER REDDY,INC,472093
Telangana,Nalgonda,TERA CHINNAPA REDDY,TDP,278937
Telangana,Nalgonda,NANDYALA NARSIMHA REDDY,CPM,54423
Telangana,Nalgonda,DR. PALLA RAJESHWAR REDDY,TRS,260677
Telangana,Nalgonda,GUNNAM NAGI REDDY,YSRCP,39385
Telangana,Nalgonda,TEJAVATH BELLAIAH NAIK,AAAP,2308
Telangana,Nalgonda,MANUPURI DAYA SAGAR,PPOI,4495
Telangana,Nalgonda,MARRI NEHEMIAH,IND,56259
Telangana,Nalgonda,None of the Above,NOTA,9305
Telangana,Bhongir ,ARVAPALLY AMBATI,BSP,9029
Telangana,Bhongir ,INDRASENA REDDY NALLU,BJP,183249
Telangana,Bhongir ,KOMATIREDDY RAJGOPAL REDDY,INC,417620
Telangana,Bhongir ,CHERUPALLY SEETHARAMULU,CPM,54035
Telangana,Bhongir ,DR. BOORA NARSAIAH GOUD,TRS,448164
Telangana,Bhongir ,KAPILAVAI DILEEP KUMAR,RLD,5551
Telangana,Bhongir ,GUDURU JANARDHAN REDDY,JaSPa,2342
Telangana,Bhongir ,GUAHATI MOTHILAL,AIMIM,2600
Telangana,Bhongir ,NAGULA SRINIVAS YADAV,MaSP,1858
Telangana,Bhongir ,BOILLA NARENDER,RPI(A),6847
Telangana,Bhongir ,NAVULLA MALLA REDDY,IND,26805
Telangana,Bhongir ,RAVULAPALLY KONDAL RAO,IND,7721
Telangana,Bhongir ,VARIKUPPALA KRISHNA VADDERA,IND,35004
Telangana,Bhongir ,None of the Above,NOTA,10907
Telangana,Warangal,KADIYAM SRIHARI,TRS,661639
Telangana,Warangal,GANNARAPU SURENDER,BSP,9536
Telangana,Warangal,PARAMESHWAR RAMAGALLA,BJP,187139
Telangana,Warangal,RAJAIAH SIRICILLA,INC,269065
Telangana,Warangal,CHINTHA SWAMY,AAAP,5569
Telangana,Warangal,THUPPARI NARASIMHA SWAMY,PPOI,7350
Telangana,Warangal,VENKANNA KANNAM,MCPI,2258
Telangana,Warangal,VENKANNA NEERUDU,BMUP,2098
Telangana,Warangal,VENU ESAMPELLY,AIFB,1541
Telangana,Warangal,KANAKAM RAMESH,IND,2013
Telangana,Warangal,CHILUVERU PRATHAP,IND,9178
Telangana,Warangal,JANNU MAHENDAR,IND,3211
Telangana,Warangal,None of the Above,NOTA,14034
Telangana,Mahabubabad  ,PROF. AZMEERA SEETARAM NAIK,TRS,320569
Telangana,Mahabubabad  ,P. BALRAM,INC,285577
Telangana,Mahabubabad  ,BANOTH MOHANLAL,TDP,215904
Telangana,Mahabubabad  ,BODA RAASI,BSP,6224
Telangana,Mahabubabad  ,KAVITHA RANI LUNAVATH,PPOI,6637
Telangana,Mahabubabad  ,GUGULOTU JAGAN,MCPI,3662
Telangana,Mahabubabad  ,TELLAM VENKATA RAO,YSRCP,128472
Telangana,Mahabubabad  ,EESAM SUDHAKAR,IND,2193
Telangana,Mahabubabad  ,V. GOURI NAGAMANI,IND,13663
Telangana,Mahabubabad  ,DATLA NAGESHWAR RAO,IND,6853
Telangana,Mahabubabad  ,PADIGA YARRAIAH,IND,3498
Telangana,Mahabubabad  ,PAYAM CHANDHAR RAO (CHINNA CHANDHRANNA),IND,94044
Telangana,Mahabubabad  ,PONAKA SAMMAKKA,IND,3443
Telangana,Mahabubabad  ,BALUNAYAK BHUKYA,IND,3091
Telangana,Mahabubabad  ,METLA PAPAIAH,IND,3925
Telangana,Mahabubabad  ,LAXMAN BUKYA,IND,14034
Telangana,Mahabubabad  ,LAXMINARAYANA BORRA,IND,5879
Telangana,Mahabubabad  ,None of the Above,NOTA,6704
Telangana,Khammam ,KANKANALA NARAYANA,CPI,187702
Telangana,Khammam ,DODDA RAM BABU,BSP,4761
Telangana,Khammam ,NAMA NAGESWARA RAO,TDP,410230
Telangana,Khammam ,BUDAN BAIG SHAIK,TRS,89124
Telangana,Khammam ,NAGARJUNA CHERUKURU,JaSPa,5002
Telangana,Khammam ,PONGULETI  SRINIVASA REDDY,YSRCP,422434
Telangana,Khammam ,MEDARAMETLA  RAMA RAO,PPOI,4139
Telangana,Khammam ,KANAKAM TIRUMALA RAO,IND,917
Telangana,Khammam ,KALTHI RAMULAMMA,IND,983
Telangana,Khammam ,KALTHI VENKATESWARLU,IND,1063
Telangana,Khammam ,KAKI BHASKAR,IND,5368
Telangana,Khammam ,GUGULOTHU RANJITH KUMAR,IND,1434
Telangana,Khammam ,GUGULOTHU SARVAN,IND,1491
Telangana,Khammam ,GOKINEPALLI VENKATESWARA RAO (GVR),IND,8055
Telangana,Khammam ,JERRIPOTHULA SRINIVAS,IND,1116
Telangana,Khammam ,NAGIREDDY RAJI REDDY (RAJANNA),IND,4484
Telangana,Khammam ,BACHALA LAXMAIAH,IND,6506
Telangana,Khammam ,BANOTH KISHAN NAYAK,IND,1617
Telangana,Khammam ,BANOTH LAXMA NAIK,IND,1342
Telangana,Khammam ,BUSIREDDY SHANKAR REDDY,IND,964
Telangana,Khammam ,MARIKANTI VASUDASU,IND,879
Telangana,Khammam ,MUDIGE NAGESWARA RAO,IND,1202
Telangana,Khammam ,MOKALLA RAMESH,IND,5401
Telangana,Khammam ,RAMESH KOMMU,IND,1274
Telangana,Khammam ,RAMU KANDULA,IND,1021
Telangana,Khammam ,LINGALA RAVI KUMAR,IND,9460
Telangana,Khammam ,SANAPA POMMAIAH,IND,889
Telangana,Khammam ,None of the Above,NOTA,4991
Andhra Pradesh,Araku ,KISHORE CHANDRA DEO,INC,52884
Andhra Pradesh,Araku ,GUMMIDI SANDHYARANI,TDP,321793
Andhra Pradesh,Araku ,MIDIYAM BABURAO,CPM,38898
Andhra Pradesh,Araku ,KOTHAPALLI GEETHA,YSRCP,413191
Andhra Pradesh,Araku ,BURJABARIKI DHANARAJU,AAAP,8569
Andhra Pradesh,Araku ,IILLA RAMI REDDY,IND,5692
Andhra Pradesh,Araku ,KANGALA BALUDORA,IND,23215
Andhra Pradesh,Araku ,CHETTI SANKARARAO,IND,8951
Andhra Pradesh,Araku ,BIDDIKA RAMAIAH,IND,7587
Andhra Pradesh,Araku ,VANUGU SANKARARAO,IND,4614
Andhra Pradesh,Araku ,SALLANGI RATNAM,IND,7688
Andhra Pradesh,Araku ,None of the Above,NOTA,16532
Andhra Pradesh,Srikakulam,KILLI KRUPARANI,INC,24171
Andhra Pradesh,Srikakulam,BODDEPALLI RAJARAO,BSP,8049
Andhra Pradesh,Srikakulam,RAMMOHAN NAIDU KINJARAPU,TDP,556545
Andhra Pradesh,Srikakulam,KADIYAM JAYALAKSHMI,PPOI,5026
Andhra Pradesh,Srikakulam,JAIDEV INJARAPU,AAAP,2559
Andhra Pradesh,Srikakulam,PAIDI RAJA RAO,JaSPa,11423
Andhra Pradesh,Srikakulam,REDDY SHANTHI,YSRCP,428853
Andhra Pradesh,Srikakulam,VASUDEVA RAO BODDU,CPI(ML)(L),5132
Andhra Pradesh,Srikakulam,KINJARAPU TEJESWARA RAO,IND,2075
Andhra Pradesh,Srikakulam,TOTA TEJESWARA RAO,IND,2144
Andhra Pradesh,Srikakulam,None of the Above,NOTA,6138
Andhra Pradesh,Vizianagaram,ASHOK GAJAPATHI RAJU PUSAPATI,TDP,536549
Andhra Pradesh,Vizianagaram,JHANSI LAKSHMI BOTCHA,INC,122487
Andhra Pradesh,Vizianagaram,BONU KRISHNA,BSP,4092
Andhra Pradesh,Vizianagaram,TADIVAKA RAMESH NAIDU,JaSPa,3388
Andhra Pradesh,Vizianagaram,NARU SIMHADRI NAIDU,AAAP,2505
Andhra Pradesh,Vizianagaram,PRASADA RAO NANDA,PPOI,6401
Andhra Pradesh,Vizianagaram,VENKATA SWETHA CHALAPATHI KUMARA KRISHNA RANGARAO RAVU,YSRCP,429638
Andhra Pradesh,Vizianagaram,YELLA RAO SIYYADULA,IND,5125
Andhra Pradesh,Vizianagaram,HARIKISHAN KUPPILI,IND,3603
Andhra Pradesh,Vizianagaram,None of the Above,NOTA,6528
Andhra Pradesh,Visakhapatnam,IMANDI VENKATA KURMARAO,BSP,14947
Andhra Pradesh,Visakhapatnam,KAMBHAMPATI HARI BABU,BJP,566832
Andhra Pradesh,Visakhapatnam,BOLISETTI SATYANARAYANA (SATYA),INC,50632
Andhra Pradesh,Visakhapatnam,KUNA RAMAM,AAAP,6175
Andhra Pradesh,Visakhapatnam,DADI JYOTHI BHAVANI,PPOI,2717
Andhra Pradesh,Visakhapatnam,DR|| BHAVANI SANKAR SASTRY.A,ICSP,1910
Andhra Pradesh,Visakhapatnam,JT RAMARAO,sps,4323
Andhra Pradesh,Visakhapatnam,Y.S VIJAYAMMA,YSRCP,476344
Andhra Pradesh,Visakhapatnam,SABBAM HARI,JaSPa,6644
Andhra Pradesh,Visakhapatnam,UMAMAHESWARARAO ARETI,IND,1751
Andhra Pradesh,Visakhapatnam,KUTIKUPPALA SURYA RAO,IND,1889
Andhra Pradesh,Visakhapatnam,KURADA SATYANARAYANA PATNAIK,IND,1927
Andhra Pradesh,Visakhapatnam,GEDELA KRISHNARAO,IND,1118
Andhra Pradesh,Visakhapatnam,CHANDRASEKHAR BUDDA,IND,1348
Andhra Pradesh,Visakhapatnam,CHALAPATHIRAO RONANKI,IND,1594
Andhra Pradesh,Visakhapatnam,TANUKU DIVAKAR,IND,5418
Andhra Pradesh,Visakhapatnam,DURGAPRASAD GUNTU,IND,2611
Andhra Pradesh,Visakhapatnam,NAGENDRA SAIRAM,IND,2377
Andhra Pradesh,Visakhapatnam,J. PADMAJA,IND,1540
Andhra Pradesh,Visakhapatnam,BRAHMA SWAROOP KASIBHATTA,IND,994
Andhra Pradesh,Visakhapatnam,SREENADH REDDY,IND,1379
Andhra Pradesh,Visakhapatnam,SEEMAKURTHI SRINUVASU (BHAGHAVAN SRINU),IND,1759
Andhra Pradesh,Visakhapatnam,None of the Above,NOTA,7329
Andhra Pradesh,Anakapalli,KARANAM TIRUPATHI RAO,BSP,14834
Andhra Pradesh,Anakapalli,MUTTAMSETTI SRINIVASA RAO (AVANTHI),TDP,568463
Andhra Pradesh,Anakapalli,VIJAYA LAKSHMI THOTA,INC,17770
Andhra Pradesh,Anakapalli,KONDARAJU JAMPANA,JaSPa,6261
Andhra Pradesh,Anakapalli,GUDIVADA AMARNADH,YSRCP,520531
Andhra Pradesh,Anakapalli,VADLAMURI KRISHNA SWAROOP,DABAP,5506
Andhra Pradesh,Anakapalli,SARISA LEELA PRASANNA KUMARI,PPOI,2875
Andhra Pradesh,Anakapalli,APPALARAJU SADARAM,IND,3228
Andhra Pradesh,Anakapalli,None of the Above,NOTA,8604
Andhra Pradesh,Kakinada,THOTA NARASIMHAM,TDP,514402
Andhra Pradesh,Kakinada,MALLIPUDI MANGAPATI PALLAM RAJU,INC,19754
Andhra Pradesh,Kakinada,MUTHABATHULA RATNA KUMAR,BSP,2511
Andhra Pradesh,Kakinada,ARJUNARAO YEGUPATI,CPI(ML)(L),1495
Andhra Pradesh,Kakinada,KOLA VENKATA PRASAD VARMA,RJD,3473
Andhra Pradesh,Kakinada,CHALAMALASETTY SUNIL,YSRCP,510971
Andhra Pradesh,Kakinada,TEKUMUDI VENKATA RAO,PPOI,3826
Andhra Pradesh,Kakinada,TUMMALAPALLI SATYA RAMAKRISHNA,JaSPa,6442
Andhra Pradesh,Kakinada,MOTHA SARADA,RPI(KH),6836
Andhra Pradesh,Kakinada,ROKKAM DAYAKAR,RP(K),1837
Andhra Pradesh,Kakinada,SRINIVAS DANGETI,AAAP,2356
Andhra Pradesh,Kakinada,KARRA VENKATA APPALA NARASIMHA RAO,IND,1907
Andhra Pradesh,Kakinada,KUNCHE RAMADAS,IND,1122
Andhra Pradesh,Kakinada,GUTTULA ANNAPURNA SESHAGIRI RAO (BATHPARTY-SESHU),IND,1417
Andhra Pradesh,Kakinada,CHAGANTI SURYANARAYANA MURTY,IND,1236
Andhra Pradesh,Kakinada,JALLURI VENKATESWARLU (J.V),IND,6636
Andhra Pradesh,Kakinada,DONKA LEELAVATHI,IND,3756
Andhra Pradesh,Kakinada,DONAM NEELAKANTAM,IND,1697
Andhra Pradesh,Kakinada,PEPAKAYALA SUBHA RAJENDRA,IND,1161
Andhra Pradesh,Kakinada,PRABHAKARA RAO MADIKI,IND,496
Andhra Pradesh,Kakinada,MERLA BHAVANI SANKARA PRASAD,IND,910
Andhra Pradesh,Kakinada,VINJAMALLA CHITTI BABU,IND,1400
Andhra Pradesh,Kakinada,None of the Above,NOTA,4358
Andhra Pradesh,Amalapuram ,AITHABATHULA JOGESWARA VENKATA BUTCHI MAHESWARA RAO,INC,12182
Andhra Pradesh,Amalapuram ,GEDDAM SAMPADA RAO,BSP,7219
Andhra Pradesh,Amalapuram ,DR PANDULA RAVINDRA BABU,TDP,594547
Andhra Pradesh,Amalapuram ,KUNCHE PEDASATYANARAYANA,PPOI,4560
Andhra Pradesh,Amalapuram ,KONKI VENKATA RAO,RP(K),3233
Andhra Pradesh,Amalapuram ,PINIPE VISWARUPU,YSRCP,473971
Andhra Pradesh,Amalapuram ,VIJAYA CHAKRAVARTHY PANTHAGADA,RPI(KH),2867
Andhra Pradesh,Amalapuram ,G.V.HARSHA KUMAR,JaSPa,9931
Andhra Pradesh,Amalapuram ,UNDRU GANI RAJU,IND,862
Andhra Pradesh,Amalapuram ,KASI CHANDRAMOULI,IND,1110
Andhra Pradesh,Amalapuram ,KOMMU SATYAVATHI,IND,625
Andhra Pradesh,Amalapuram ,BHASKARA RAO BUNGA,IND,824
Andhra Pradesh,Amalapuram ,YALANGI RAMESH,IND,1171
Andhra Pradesh,Amalapuram ,VADDI WINSTON CHURCHILL,IND,1684
Andhra Pradesh,Amalapuram ,None of the Above,NOTA,6141
Andhra Pradesh,Rajahmundry,DURGESH KANDULA,INC,21243
Andhra Pradesh,Rajahmundry,MARRE BABJI,BSP,6079
Andhra Pradesh,Rajahmundry,MURALI MOHAN MAGANTI,TDP,630573
Andhra Pradesh,Rajahmundry,KOLLABATHULA RICHMOND CAREY,GaAP,5481
Andhra Pradesh,Rajahmundry,BODDU VENKATARAMANA CHOWDARY,YSRCP,463139
Andhra Pradesh,Rajahmundry,MULLAPUDI SATYANARAYANA,JaSPa,11718
Andhra Pradesh,Rajahmundry,MEDA SRINIVAS,RPC(S),991
Andhra Pradesh,Rajahmundry,SANGISETTI SRINIVASA RAO,PPOI,1329
Andhra Pradesh,Rajahmundry,ANNAMDEVULA DHARMA RAO,IND,590
Andhra Pradesh,Rajahmundry,CHEEKATLA VENKATESWARA RAO,IND,1356
